book_id,user_id,rating,id,isbn,authors,original_publication_year,original_title,average_rating,ratings_count,image_url
27,439,5,2279,380713802,Bill Bryson,1991,Neither Here Nor There: Travels In Europe,3.88,42170,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
28,1169,4,1449,380727501,Bill Bryson,1995,Notes From A Small Island,3.91,66947,https://images.gr-assets.com/books/1479653223m/28.jpg
29,314,3,4079,380715430,Bill Bryson,1990,The Mother Tongue: English And How It Got That Way,3.95,24133,https://images.gr-assets.com/books/1388209925m/29.jpg
30,314,4,964,345538374,J.R.R. Tolkien,1973,The Hobbit And The Lord Of The Rings,4.59,90907,https://images.gr-assets.com/books/1346072396m/30.jpg
33,439,3,189,618640150,J.R.R. Tolkien,1955,The Lord Of The Rings,4.47,389054,https://images.gr-assets.com/books/1411114164m/33.jpg
34,173,1,19,618346252,J.R.R. Tolkien,1954,The Fellowship Of The Ring,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
36,314,4,4229,618391002,"Chris   Smith, Christopher Lee, Richard Taylor",0,The Lord Of The Rings: Weapons And Warfare,4.53,18788,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
50,588,3,388,689840926,Gary Paulsen,1986,Hatchet,3.68,222553,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
67,439,4,3504,61159174,Edward P. Jones,2003,The Known World,3.82,26550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
93,439,3,639,753454947,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880,Heidi,3.97,144497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
98,314,3,7683,761129588,"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",1989,What To Expect The First Year,3.86,10807,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
105,314,3,2817,441102670,Frank Herbert,1985,Chapterhouse: Dune,3.89,34822,https://images.gr-assets.com/books/1260954505m/105.jpg
106,173,2,1105,441172695,Frank Herbert,1969,Dune Messiah,3.86,82580,https://images.gr-assets.com/books/1392528394m/106.jpg
112,173,5,1262,441104029,Frank Herbert,1976,Children Of Dune,3.9,74133,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
117,439,4,2491,441328008,Frank Herbert,1984,Heretics Of Dune,3.83,40415,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
119,951,5,3230,618212906,Gary Russell,2002,The Lord Of The Rings: The Art Of The Fellowship Of The Ring,4.59,24340,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
122,588,5,1597,034541005X,Bryce Courtenay,1989,The Power Of One,4.34,57312,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
231,588,2,4081,312424442,Tom Wolfe,2004,I Am Charlotte Simmons,3.4,19293,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
249,35,4,1999,802131786,Henry Miller,1934,Tropic Of Cancer,3.71,45518,https://images.gr-assets.com/books/1408753140m/249.jpg
250,173,4,6787,802151825,Henry Miller,1938,Tropic Of Capricorn,3.85,12082,https://images.gr-assets.com/books/1417652073m/250.jpg
264,588,4,1783,141439637,"Henry James, Patricia Crick",1881,The Portrait Of A Lady,3.76,55019,https://images.gr-assets.com/books/1502148606m/264.jpg
275,424,4,4602,375700528,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",1984,L'Amant,3.76,18947,https://images.gr-assets.com/books/1423329337m/275.jpg
291,35,3,7242,806501901,"Kahlil Gibran, Anthony R. Ferris",1912,الأجنحة المتكسرة,3.93,5611,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
295,368,3,293,753453800,Robert Louis Stevenson,1882,Treasure Island,3.82,268012,https://images.gr-assets.com/books/1485248909m/295.jpg
304,35,3,5915,037576013X,"George Eliot, Edmund White",1876,Daniel Deronda,3.82,17723,https://images.gr-assets.com/books/1320432000m/304.jpg
320,173,5,94,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien Años De Soledad,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
343,314,3,397,140120831,"Patrick Süskind, John E. Woods",1985,Das Parfum. Die Geschichte Eines Mörders,4.0,178135,https://images.gr-assets.com/books/1409112276m/343.jpg
348,314,4,6123,345413997,Robert A. Heinlein,1957,The Door Into Summer,4.0,15298,https://images.gr-assets.com/books/1342241886m/348.jpg
350,1185,4,371,441788386,Robert A. Heinlein,1961,Stranger In A Strange Land,3.91,220301,https://images.gr-assets.com/books/1156897088m/350.jpg
353,1169,3,4034,None,Robert A. Heinlein,1973,Time Enough For Love,3.96,25603,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
355,2077,2,7904,345316509,Robert A. Heinlein,1984,Job: A Comedy Of Justice,3.77,14592,https://images.gr-assets.com/books/1438043968m/355.jpg
357,173,3,1727,671742515,Douglas Adams,1988,The Long Dark Tea-Time Of The Soul,4.05,59276,https://images.gr-assets.com/books/1388257271m/357.jpg
359,1440,5,5072,345455290,Douglas Adams,2002,The Salmon Of Doubt: Hitchhiking The Galaxy One Last Time,3.92,20177,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
360,368,4,1332,345418778,Douglas Adams,1992,Mostly Harmless,3.96,72426,https://images.gr-assets.com/books/1320725132m/360.jpg
365,2125,4,1042,671746723,Douglas Adams,1987,Dirk Gently'S Holistic Detective Agency,3.97,89569,https://images.gr-assets.com/books/1404697381m/365.jpg
378,439,3,561,394820371,"Norton Juster, Jules Feiffer",1961,The Phantom Tollbooth,4.22,178432,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
386,35,3,9759,393329402,Nick Flynn,2004,Another Bullshit Night In Suck City: A Memoir,3.77,8441,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
400,951,5,9232,140156046,Don DeLillo,1988,Libra,3.98,10195,https://images.gr-assets.com/books/1327935630m/400.jpg
415,2066,3,3581,143039946,Thomas Pynchon,1973,Gravity'S Rainbow,4.03,24990,https://images.gr-assets.com/books/1414969925m/415.jpg
424,951,5,5146,374521727,Joan Didion,1968,Slouching Towards Bethlehem: Essays,4.24,17787,https://images.gr-assets.com/books/1327952074m/424.jpg
428,314,3,5315,374529949,"Joan Didion, David Thomson",1970,Play It As It Lays,3.86,17411,https://images.gr-assets.com/books/1327935636m/428.jpg
431,439,3,2337,143039830,"Paul Auster, Art Spiegelman",1987,The New York Trilogy,3.92,34730,https://images.gr-assets.com/books/1386924429m/431.jpg
432,368,3,8588,140097317,Paul Auster,1985,City Of Glass,3.81,10157,https://images.gr-assets.com/books/1309986722m/432.jpg
446,588,4,5150,312426232,Paul Auster,2005,The Brooklyn Follies,3.81,15635,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
447,202,4,6844,140115854,Paul Auster,1989,Moon Palace,3.99,12170,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
449,341,2,9905,312263996,Paul Auster,1999,Timbuktu,3.66,8272,https://images.gr-assets.com/books/1355142497m/449.jpg
456,951,5,7462,140178139,Paul Auster,1992,Leviathan,3.95,10002,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
475,424,3,1969,143036556,Jared Diamond,2004,Collapse: How Societies Chose To Fail Or Succeed,3.92,44238,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
597,274,5,3598,743264460,Chuck Klosterman,2005,Killing Yourself To Live: 85% Of A True Story,3.85,23015,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
599,274,5,1392,743236017,Chuck Klosterman,2003,"Sex, Drugs, And Cocoa Puffs: A Low Culture Manifesto",3.75,56548,https://images.gr-assets.com/books/1380742001m/599.jpg
621,35,3,8934,767923820,David Bach,2003,The Automatic Millionaire: A Powerful One-Step Plan To Live And Finish Rich,3.9,10091,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
629,366,2,546,60589469,Robert M. Pirsig,1974,Zen And The Art Of Motorcycle Maintenance,3.76,139411,https://images.gr-assets.com/books/1410136019m/629.jpg
647,248,4,5120,312421435,Naomi Klein,1999,No Logo,3.86,18792,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
656,1307,5,498,192833987,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869,Война И Миръ,4.11,168037,https://images.gr-assets.com/books/1413215930m/656.jpg
662,178,4,255,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,3.68,283295,https://images.gr-assets.com/books/1405868167m/662.jpg
665,2166,5,8688,451163931,"Ayn Rand, Nathaniel Branden",1961,The Virtue Of Selfishness: A New Concept Of Egoism,3.47,10198,https://images.gr-assets.com/books/1425001997m/665.jpg
667,2041,2,903,452281253,Ayn Rand,1938,Anthem,3.62,95620,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
668,75,4,4298,451187849,"Ayn Rand, Leonard Peikoff",1936,We The Living,3.89,20994,https://images.gr-assets.com/books/1306188481m/668.jpg
676,1986,2,8492,375755195,Billy Collins,2001,Sailing Alone Around The Room: New And Selected Poems,4.24,10999,https://images.gr-assets.com/books/1403183272m/676.jpg
698,1019,3,6870,307263940,Anne Tyler,2006,Digging To America,3.53,15484,https://images.gr-assets.com/books/1327901292m/698.jpg
703,589,2,3560,1400079497,Philip Roth,2004,The Plot Against America,3.71,26262,https://images.gr-assets.com/books/1327711853m/703.jpg
706,997,3,1096,713998946,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004,America (The Book): A Citizen'S Guide To Democracy Inaction,4.02,74511,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
760,202,5,1853,307278492,"Gabriel García Márquez, Edith Grossman",2004,Memoria De Mis Putas Tristes,3.59,33534,https://images.gr-assets.com/books/1327484658m/760.jpg
771,256,4,1224,375708111,Brian Greene,1999,"The Elegant Universe: Superstrings, Hidden Dimensions, And The Quest For The Ultimate Theory",4.06,32626,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
816,178,4,1142,60512806,Neal Stephenson,1999,Cryptonomicon,4.25,72683,https://images.gr-assets.com/books/1327931476m/816.jpg
822,461,4,5306,60733357,Neal Stephenson,2004,The Confusion,4.24,17381,https://images.gr-assets.com/books/1407706997m/822.jpg
823,2324,3,3314,60593083,Neal Stephenson,2003,Quicksilver,3.92,27675,https://images.gr-assets.com/books/1377095669m/823.jpg
825,368,3,7003,553573861,Neal Stephenson,1988,Zodiac,3.7,13353,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
827,1795,4,1519,553380966,Neal Stephenson,1995,The Diamond Age,4.19,61836,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
830,1859,3,442,553380958,Neal Stephenson,1992,Snow Crash,4.02,175883,https://images.gr-assets.com/books/1477624625m/830.jpg
840,274,4,6937,465067107,Donald A. Norman,1988,The Psychology Of Everyday Things,4.18,11838,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
865,1350,5,35,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
870,307,5,893,1591169208,"Hiromu Arakawa, Akira Watanabe",2002,鋼の錬金術師 1,4.49,93990,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
880,2066,3,4268,812974611,Robert   Harris,2003,Pompeii,3.79,22734,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
890,1136,4,32,142000671,John Steinbeck,1937,Of Mice And Men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
900,349,5,4908,60554738,Neil Strauss,2005,The Game,3.73,16698,https://images.gr-assets.com/books/1410129471m/900.jpg
902,1576,4,857,014240120X,Ellen Raskin,1978,The Westing Game,4.03,117108,https://images.gr-assets.com/books/1356850909m/902.jpg
903,1185,2,4937,808553038,Zilpha Keatley Snyder,1967,The Egypt Game,3.81,26657,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
930,178,4,33,739326228,Arthur Golden,1997,Memoirs Of A Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
952,446,4,7994,1881273652,"Gary Chapman, D. Ross Campbell",1995,The Five Love Languages Of Children,4.21,9744,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
960,319,4,9,1416524797,Dan Brown,2000,Angels & Demons,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
968,75,3,26,307277674,Dan Brown,2003,The Da Vinci Code,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
976,158,5,145,671027387,Dan Brown,2001,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
998,2125,5,2318,671015206,"Thomas J. Stanley, William D. Danko",1995,The Millionaire Next Door: The Surprising Secrets Of America'S Wealthy,4.0,43937,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1005,35,3,680,1585424331,Napoleon Hill,1937,Think And Grow Rich,4.17,87445,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1032,153,3,9670,345479173,"Donald J. Trump, Tony Schwartz",1987,Trump: The Art Of The Deal,3.66,8768,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1052,1766,4,1684,451205367,George S. Clason,1926,The Richest Man In Babylon,4.23,50206,https://images.gr-assets.com/books/1348336780m/1052.jpg
1067,363,3,687,743226720,David McCullough,2005,1776,4.06,130293,https://images.gr-assets.com/books/1306787560m/1067.jpg
1078,105,3,461,1416500189,Pearl S. Buck,1931,The Good Earth,3.97,182220,https://images.gr-assets.com/books/1312497600m/1078.jpg
1097,1355,3,398,60838582,Eric Schlosser,2001,Fast Food Nation : The Dark Side Of The All-American Meal,3.73,179347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1103,2117,4,273,812968069,Lisa See,2005,Snow Flower And The Secret Fan,4.05,280475,https://images.gr-assets.com/books/1327880508m/1103.jpg
1110,3117,2,1301,385340540,John Grisham,2005,The Broker,3.77,65428,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1171,1038,4,1683,140143459,Michael   Lewis,1989,Liar'S Poker: Rising Through The Wreckage On Wall Street,4.16,22315,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1191,1350,5,7385,030723827X,"Giada De Laurentiis, Victoria Pearson",2006,Giada'S Family Dinners,3.99,12061,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1192,901,4,2744,1400052580,Giada De Laurentiis,2005,Everyday Italian: 125 Simple And Delicious Recipes,3.97,32751,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1202,2276,2,92,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
1232,363,3,258,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,La Sombra Del Viento,4.24,263685,https://images.gr-assets.com/books/1344545047m/1232.jpg
1241,889,4,383,307276902,James Frey,2003,A Million Little Pieces,3.62,184241,https://images.gr-assets.com/books/1483206985m/1241.jpg
1274,2477,4,573,60574216,John Gray,1998,"Men Are From Mars, Women Are From Venus Book Of Days: 365 Inspirations To Enrich Your Relationships",3.52,113915,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1295,5042,3,496,553381679,Jean M. Auel,1980,The Clan Of The Cave Bear,4.02,176062,https://images.gr-assets.com/books/1385331302m/1295.jpg
1301,343,4,1154,393324818,Michael   Lewis,2003,Moneyball: The Art Of Winning An Unfair Game,4.24,66406,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1303,1631,2,2474,140280197,"Robert Greene, Joost Elffers",1988,The 48 Laws Of Power,4.18,37613,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1305,4641,4,4731,055338368X,Steven Pressfield,1998,Gates Of Fire: An Epic Novel Of The Battle Of Thermopylae,4.4,17952,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1307,424,4,7274,553295411,"Margaret Weis, Tracy Hickman",1991,Fire Sea,4.05,14707,https://images.gr-assets.com/books/1325422748m/1307.jpg
1319,274,5,2867,446691437,"Steven Pressfield, Robert McKee",2002,The War Of Art: Break Through The Blocks And Win Your Inner Creative Battles,4.07,31399,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1362,319,3,3404,140449086,"Herodotus, Aubrey de Sélincourt, John M. Marincola",-440,Ἰστορίαι,3.97,28870,https://images.gr-assets.com/books/1399225547m/1362.jpg
1371,653,5,341,140275363,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,Ἰλιάς,3.83,241088,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1375,1214,4,2142,147712556,"Homer, Robert Fagles, Bernard Knox",-762,Ἰλιάς ; Ὀδύσσεια,4.03,47825,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1381,215,2,79,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
1420,997,3,125,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie Of Hamlet, Prince Of Denmark",4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
1426,446,4,4160,60527986,Paulo Coelho,1997,Manual Do Guerreiro Da Luz,3.69,19063,https://images.gr-assets.com/books/1359135200m/1426.jpg
1427,725,4,1506,60832819,"Paulo Coelho, Margaret Jull Costa",2005,O Zahir,3.56,50921,https://images.gr-assets.com/books/1493044059m/1427.jpg
1428,166,4,1206,61122092,"Paulo Coelho, Alan R. Clarke",1994,Na Margem Do Rio Piedra Eu Sentei E Chorei,3.57,62106,https://images.gr-assets.com/books/1466877798m/1428.jpg
1430,446,3,708,60589280,"Paulo Coelho, Margaret Jull Costa",2003,Onze Minutos,3.69,102206,https://images.gr-assets.com/books/1358266987m/1430.jpg
1431,1064,3,629,61124265,"Paulo Coelho, Margaret Jull Costa",1998,Veronika Decide Morrer,3.69,111856,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1519,7,5,4149,140443339,"Aeschylus, Robert Fagles, William Bedell Stanford",-458,Ὀρέστεια,3.99,24588,https://images.gr-assets.com/books/1391822282m/1519.jpg
1524,922,4,9281,521010756,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",-458,Ἀγαμέμνων,3.82,11515,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1540,958,3,2052,015602764X,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",-401,"The Oedipus Cycle: Oedipus Rex/Oedipus At Colonus/Antigone (The Theban Plays, #1–3)",3.96,42175,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1554,1702,5,824,1580495931,"Sophocles, J.E. Thomas",-430,Οἰδίπους Τύραννος,3.67,119496,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1591,859,3,4537,872206033,"Aristophanes, Sarah Ruden",-411,Λυσιστράτη,3.84,25758,https://images.gr-assets.com/books/1335892524m/1591.jpg
1617,363,2,87,374500010,"Elie Wiesel, Marion Wiesel",1958,Un Di Velt Hot Geshvign,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
1618,1576,4,60,1400032717,Mark Haddon,2003,The Curious Incident Of The Dog In The Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
1622,1088,5,248,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night'S Dream,3.94,334241,https://images.gr-assets.com/books/1327874534m/1622.jpg
1624,321,4,4691,865471185,Beryl Markham,1942,West With The Night,4.18,19738,https://images.gr-assets.com/books/1368204688m/1624.jpg
1625,2384,4,855,743482778,William Shakespeare,1601,"Twelfth Night; Or, What You Will",3.97,119607,https://images.gr-assets.com/books/1416628008m/1625.jpg
1627,363,3,6066,743271327,Annie Proulx,1997,Brokeback Mountain,3.93,19871,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1633,158,3,1078,142000280,David    Allen,2001,Getting Things Done: How To Achieve Stress-Free Productivity,3.98,75665,https://images.gr-assets.com/books/1312474060m/1633.jpg
1635,624,5,4823,609610570,"Larry Bossidy, Ram Charan, Charles Burck",2009,Execution: The Discipline Of Getting Things Done,3.83,18065,https://images.gr-assets.com/books/1350857284m/1635.jpg
1715,589,4,2366,014044789X,"Ovid, David Raeburn, Denis Feeney",8,Metamorphoses,4.03,42590,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1823,3241,5,8930,743233212,Jon Ronson,2001,Them: Adventures With Extremists,3.94,9081,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1824,41,3,9949,743270606,Jon Ronson,2004,The Men Who Stare At Goats,3.58,8245,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1842,446,4,408,739467352,Jared Diamond,1997,"Guns, Germs, And Steel: The Fates Of Human Societies",4.0,171558,https://images.gr-assets.com/books/1453215833m/1842.jpg
1845,725,5,82,385486804,Jon Krakauer,1996,Into The Wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg
1846,1986,2,1625,785268839,John Eldredge,2001,Wild At Heart: Discovering The Secret Of A Man'S Soul,3.93,50215,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1848,575,4,1487,743246985,Jung Chang,1991,Wild Swans: Three Daughters Of China,4.23,60193,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1849,424,5,5013,044657967X,Nelson DeMille,2006,Wild Fire,3.99,18529,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1852,958,4,375,439227143,Jack London,1903,The Call Of The Wild,3.83,223932,https://images.gr-assets.com/books/1452291694m/1852.jpg
1869,2306,4,508,805063897,Barbara Ehrenreich,2001,Nickel And Dimed: On (Not) Getting By In America,3.6,152786,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1875,4430,5,6820,679724699,"Michel Foucault, Robert Hurley",1976,Histoire De La Sexualité 1. La Volonté De Savoir,4.03,12565,https://images.gr-assets.com/books/1486236798m/1875.jpg
1885,158,4,10,679783261,Jane Austen,1813,Pride And Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
1897,325,4,6251,385488181,Jon Krakauer,1990,Eiger Dreams: Ventures Among Men And Mountains,3.97,14010,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1898,577,4,236,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account Of The Mt. Everest Disaster,4.11,291258,https://images.gr-assets.com/books/1463384482m/1898.jpg
1911,461,4,969,374292795,Thomas L. Friedman,2005,The World Is Flat: A Brief History Of The Twenty-First Century,3.66,78271,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
