id,book_id,isbn,authors,original_publication_year,original_title,average_rating,ratings_count,image_url
100,7244,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,4137,349113912,David Sedaris,2000,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,19543,99408392,Maurice Sendak,1963,Where The Wild Things Are,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,7126,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte De Monte-Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,6288,307265439,Cormac McCarthy,2006,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,18710190,7524277,Veronica Roth,2013,Allegiant,3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,9418327,,Tina Fey,2011,Bossypants,3.94,506250,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,3473,446693804,Nicholas Sparks,1999,A Walk To Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,9416,440241413,Sophie Kinsella,2000,Confessions Of A Shopaholic,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,10572,553381695,George R.R. Martin,1998,A Clash Of Kings,4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,10441,143037145,Kim Edwards,2005,The Memory Keeper'S Daughter,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,15507958,670026603,Jojo Moyes,2012,Me Before You,4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,168668,684833395,Joseph Heller,1961,Catch-22,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,6900,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays With Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,2187,312422156,Jeffrey Eugenides,2002,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures Of Tom Sawyer,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,18131,440498058,Madeleine L'Engle,1962,A Wrinkle In Time,4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,7763,143038095,Amy Tan,1989,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,38447,038549081X,Margaret Atwood,1985,The Handmaid'S Tale,4.06,607889,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,452306,385729332,Ann Brashares,2001,The Sisterhood Of The Traveling Pants,3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,7604,,"Vladimir Nabokov, Craig Raine",1955,Lolita,3.88,469836,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,37442,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life And Times Of The Wicked Witch Of The West,3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,5358,582418275,John Grisham,1991,The Firm,3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,7937843,316098337,Emma Donoghue,2010,Room,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie Of Hamlet, Prince Of Denmark",4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,234225,340839937,Frank Herbert,1965,Dune,4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,2612,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make A Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,11084145,1451648537,Walter Isaacson,2011,Steve Jobs,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,332613,451163966,Ken Kesey,1962,One Flew Over The Cuckoo'S Nest,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,2165,684830493,Ernest Hemingway,1952,The Old Man And The Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,4395,142000663,John Steinbeck,1939,The Grapes Of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,3431,1401308589,Mitch Albom,2003,The Five People You Meet In Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,8127,451528824,L.M. Montgomery,1908,Anne Of Green Gables,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,3777732,1416914307,Cassandra Clare,2009,City Of Glass,4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,62291,055357342X,George R.R. Martin,2000,A Storm Of Swords,4.54,469022,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,137791,006075995X,Rebecca Wells,1996,Divine Secrets Of The Ya-Ya Sisterhood,3.79,465676,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,10964,440242940,Diana Gabaldon,1991,Outlander,4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,9460487,1594744769,Ransom Riggs,2011,Miss Peregrine’S Home For Peculiar Children,3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,6892870,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet Som Sprängdes,4.2,443951,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,18007564,804139024,Andy Weir,2012,The Martian,4.39,423344,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,5043,451207149,Ken Follett,1989,The Pillars Of The Earth,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,18143977,1476746583,Anthony Doerr,2014,All The Light We Cannot See,4.31,470001,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,8664353,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War Ii Story Of Survival, Resilience, And Redemption",4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,976,671027387,Dan Brown,2001,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,17333223,316055433,Donna Tartt,2013,The Goldfinch,3.87,396756,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,1217100,1595141715,Jay Asher,2007,Thirteen Reasons Why,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,2865,452287022,Tracy Chevalier,1999,Girl With A Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,4374400,525421033,Gayle Forman,2009,If I Stay,3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,4989,312353766,Anita Diamant,1997,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,28186,786856866,Rick Riordan,2006,The Sea Of Monsters,4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,5526,446528056,Nicholas Sparks,2006,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,1582996,1416914293,Cassandra Clare,2008,City Of Ashes,4.21,541117,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,8852,743477103,William Shakespeare,1606,The Tragedy Of Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,15241,618346260,J.R.R. Tolkien,1954,The Two Towers,4.42,480446,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,42156,031232118X,Emily Giffin,2004,Something Borrowed,3.83,403601,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,23772,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs And Ham,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,6310,142403881,"Roald Dahl, Quentin Blake",1964,Charlie And The Chocolate Factory,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,2120932,1423101464,Rick Riordan,2008,The Battle Of The Labyrinth,4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,2623,192833596,Charles Dickens,1860,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,18512,345339738,J.R.R. Tolkien,1955,The Return Of The King,4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,49552,,"Albert Camus, Matthew    Ward",1942,L’Étranger,3.96,420600,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,7736182,142311339X,Rick Riordan,2010,The Lost Hero,4.35,271576,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,15745753,1250012570,Rainbow Rowell,2013,Eleanor & Park,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,13497,055358202X,George R.R. Martin,2005,A Feast For Crows,4.1,428186,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,7735333,525423648,Ally Condie,2010,Matched,3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,4407,747263744,Neil Gaiman,2001,American Gods,4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,149267,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,4.34,438832,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,6400090,446547565,Nicholas Sparks,2008,The Last Song,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,11125,552151696,Dan Brown,1998,Digital Fortress,3.6,423019,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,6969,141439580,"Jane Austen, Fiona Stafford",1815,Emma,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,4.02,297472,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,227463,393312836,Anthony Burgess,1962,A Clockwork Orange,3.98,431195,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,1812457,964729237,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,3.74,419539,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,4502507,739380338,Rick Riordan,2009,The Last Olympian,4.5,397500,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,18342,451169514,Stephen King,1986,It,4.18,292592,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,7144,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Преступление И Наказание,4.18,380903,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,6514,61148512,Sylvia Plath,1963,The Bell Jar,3.98,401605,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,252577,7205236,Frank McCourt,1996,Angela'S Ashes: A Memoir,4.07,392103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,52036,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,3.99,372099,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,168642,679745580,Truman Capote,1965,In Cold Blood,4.05,381652,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,6304335,316042676,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,3.76,436093,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,7171637,1416975861,Cassandra Clare,2010,Clockwork Angel,4.33,490890,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,39988,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,4.29,440743,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,9361589,385534639,Erin Morgenstern,2011,The Night Circus,4.03,429543,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,37470,743227441,Philippa Gregory,2001,The Other Boleyn Girl,4.04,381080,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,24770,689865384,Scott Westerfeld,2005,Uglies,3.86,449073,https://images.gr-assets.com/books/1443904172m/24770.jpg
188,10664113,,George R.R. Martin,2011,A Dance With Dragons,4.31,365954,https://images.gr-assets.com/books/1327885335m/10664113.jpg
189,33,618640150,J.R.R. Tolkien,1955,The Lord Of The Rings,4.47,389054,https://images.gr-assets.com/books/1411114164m/33.jpg
190,12262741,307592731,Cheryl Strayed,2012,Wild: From Lost To Found On The Pacific Crest Trail ,3.96,379872,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,472331,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,4.35,398018,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,186074,075640407X,Patrick Rothfuss,2007,The Name Of The Wind,4.55,400101,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,3228917,316017922,Malcolm Gladwell,2008,Outliers: The Story Of Success,4.11,353011,https://images.gr-assets.com/books/1344266315m/3228917.jpg
