User-ID,isbn,Book-Rating,original_title,authors,original_publication_year,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
276796,0330332775,5,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
7341,0671024108,5,Speaking in Tongues,Jeffery Deaver,2002,Pocket,http://images.amazon.com/images/P/0671024108.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671024108.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671024108.01.LZZZZZZZ.jpg
3363,0064405176,10,Walk Two Moons,Sharon Creech,1996,HarperTrophy,http://images.amazon.com/images/P/0064405176.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064405176.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064405176.01.LZZZZZZZ.jpg
276804,0440498058,8,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,http://images.amazon.com/images/P/0440498058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
276822,0060096195,10,The Boy Next Door,Meggin Cabot,2002,Avon Trade,http://images.amazon.com/images/P/0060096195.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060096195.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060096195.01.LZZZZZZZ.jpg
276822,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,http://images.amazon.com/images/P/0786817070.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786817070.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786817070.01.LZZZZZZZ.jpg
276830,0440225825,9,Move to Strike,Perri O'Shaughnessy,2001,Island,http://images.amazon.com/images/P/0440225825.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225825.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225825.01.LZZZZZZZ.jpg
4426,0316781266,8,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg
276832,0345446860,5,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,http://images.amazon.com/images/P/0345446860.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345446860.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345446860.01.LZZZZZZZ.jpg
558,0446364193,8,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
3827,0345423402,7,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books,http://images.amazon.com/images/P/0345423402.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345423402.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345423402.01.LZZZZZZZ.jpg
276872,0425167097,8,Toxin,Robin Cook,1999,Berkley Pub Group,http://images.amazon.com/images/P/0425167097.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425167097.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425167097.01.LZZZZZZZ.jpg
276872,042518109X,8,Whispers,Dean R. Koontz,2001,Berkley Publishing Group,http://images.amazon.com/images/P/042518109X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518109X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518109X.01.LZZZZZZZ.jpg
276887,0812533550,9,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books,http://images.amazon.com/images/P/0812533550.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812533550.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812533550.01.LZZZZZZZ.jpg
277523,0446613843,10,The Jester,James Patterson,2004,Warner Books,http://images.amazon.com/images/P/0446613843.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446613843.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446613843.01.LZZZZZZZ.jpg
276896,0440241537,10,The King of Torts,JOHN GRISHAM,2003,Dell,http://images.amazon.com/images/P/0440241537.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241537.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241537.01.LZZZZZZZ.jpg
276925,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley & Sons Inc,http://images.amazon.com/images/P/002542730X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg
16923,0140327592,6,Matilda,Roald Dahl,1990,Viking Penguin Inc,http://images.amazon.com/images/P/0140327592.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140327592.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140327592.01.LZZZZZZZ.jpg
277439,0316666343,7,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
3488,0345391810,9,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books,http://images.amazon.com/images/P/0345391810.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345391810.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345391810.01.LZZZZZZZ.jpg
276925,0385504209,8,The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
278137,0804106304,8,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
277042,0971880107,2,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
276928,059030271X,5,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T),http://images.amazon.com/images/P/059030271X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059030271X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059030271X.01.LZZZZZZZ.jpg
3437,0060964049,10,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial,http://images.amazon.com/images/P/0060964049.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060964049.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060964049.01.LZZZZZZZ.jpg
277253,0380807343,9,Coraline,Neil Gaiman,2003,HarperTrophy,http://images.amazon.com/images/P/0380807343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380807343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380807343.01.LZZZZZZZ.jpg
254,0439064864,9,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439064864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg
11676,0316154601,8,Lost Light,Michael Connelly,2003,"Little, Brown",http://images.amazon.com/images/P/0316154601.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316154601.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316154601.01.LZZZZZZZ.jpg
278162,059035342X,10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
276953,0446310786,10,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
276957,0312966970,6,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.LZZZZZZZ.jpg
276964,0345354621,10,The Terminal Man,Michael Crichton,1988,Ballantine Books,http://images.amazon.com/images/P/0345354621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345354621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345354621.01.LZZZZZZZ.jpg
2276,0425172546,9,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425172546.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425172546.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425172546.01.LZZZZZZZ.jpg
276964,0440220602,9,The Chamber,John Grisham,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440220602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.LZZZZZZZ.jpg
2033,0765342987,10,Kushiel's Dart,Jacqueline Carey,2002,Tor Books,http://images.amazon.com/images/P/0765342987.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765342987.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765342987.01.LZZZZZZZ.jpg
276964,0886773741,7,Tailchaser's Song,Tad Williams,1994,Daw Books,http://images.amazon.com/images/P/0886773741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0886773741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0886773741.01.LZZZZZZZ.jpg
276986,0060930187,10,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial,http://images.amazon.com/images/P/0060930187.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930187.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930187.01.LZZZZZZZ.jpg
276986,0375760911,10,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books,http://images.amazon.com/images/P/0375760911.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375760911.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375760911.01.LZZZZZZZ.jpg
276986,0689817851,10,Go Ask Alice,Anonymous,1998,Simon Pulse,http://images.amazon.com/images/P/0689817851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689817851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689817851.01.LZZZZZZZ.jpg
276988,0061083259,7,Dreamcatcher,Dinah McCall,1996,HarperTorch,http://images.amazon.com/images/P/0061083259.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061083259.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061083259.01.LZZZZZZZ.jpg
276988,0671793489,8,All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg
16999,0312244266,7,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books,http://images.amazon.com/images/P/0312244266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312244266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312244266.01.LZZZZZZZ.jpg
276994,3423202327,6,M�?¶rder ohne Gesicht.,Henning Mankell,1999,Dtv,http://images.amazon.com/images/P/3423202327.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423202327.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423202327.01.LZZZZZZZ.jpg
276994,3492045170,7,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper,http://images.amazon.com/images/P/3492045170.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3492045170.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3492045170.01.LZZZZZZZ.jpg
9343,0671011367,6,Deja Dead,Kathy Reichs,1998,Pocket,http://images.amazon.com/images/P/0671011367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671011367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671011367.01.LZZZZZZZ.jpg
277036,0812511816,9,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,http://images.amazon.com/images/P/0812511816.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.LZZZZZZZ.jpg
6563,0061097101,10,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch,http://images.amazon.com/images/P/0061097101.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061097101.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061097101.01.LZZZZZZZ.jpg
277042,0312283709,8,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press,http://images.amazon.com/images/P/0312283709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312283709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312283709.01.LZZZZZZZ.jpg
5585,0312983271,5,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983271.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983271.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983271.01.LZZZZZZZ.jpg
277639,0380731851,6,Mystic River,Dennis Lehane,2002,HarperTorch,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
277042,0446605484,7,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
277042,0446611212,8,Violets Are Blue,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446611212.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611212.01.LZZZZZZZ.jpg
7346,0451188454,8,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book,http://images.amazon.com/images/P/0451188454.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451188454.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451188454.01.LZZZZZZZ.jpg
277042,0609804138,9,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg
278220,0671003755,8,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
3977,0743407067,6,The First Time,Joy Fielding,2001,Pocket Star,http://images.amazon.com/images/P/0743407067.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743407067.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743407067.01.LZZZZZZZ.jpg
11676,0786013230,7,Out of Sight,T. J. MacGregor,2002,Pinnacle Books,http://images.amazon.com/images/P/0786013230.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786013230.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786013230.01.LZZZZZZZ.jpg
277051,0330262130,10,Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd,http://images.amazon.com/images/P/0330262130.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330262130.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330262130.01.LZZZZZZZ.jpg
277051,0385720920,10,Choke,CHUCK PALAHNIUK,2002,Anchor,http://images.amazon.com/images/P/0385720920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.LZZZZZZZ.jpg
8681,0393319296,8,Invisible Monsters,Chuck Palahniuk,1999,W.W. Norton & Company,http://images.amazon.com/images/P/0393319296.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393319296.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393319296.01.LZZZZZZZ.jpg
277051,0553262505,7,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam,http://images.amazon.com/images/P/0553262505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553262505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553262505.01.LZZZZZZZ.jpg
763,0805062971,10,Fight Club,Chuck Palahniuk,1999,Owl Books,http://images.amazon.com/images/P/0805062971.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805062971.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805062971.01.LZZZZZZZ.jpg
1591,3257228007,10,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc,http://images.amazon.com/images/P/3257228007.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257228007.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257228007.01.LZZZZZZZ.jpg
277072,1573229571,9,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,http://images.amazon.com/images/P/1573229571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229571.01.LZZZZZZZ.jpg
277085,0434009407,8,Hannibal,Thomas Harris,0,William Heinemann Ltd(england,http://images.amazon.com/images/P/0434009407.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0434009407.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0434009407.01.LZZZZZZZ.jpg
277096,0064407667,7,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,http://images.amazon.com/images/P/0064407667.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064407667.01.LZZZZZZZ.jpg
277107,081297106X,10,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks,http://images.amazon.com/images/P/081297106X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081297106X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081297106X.01.LZZZZZZZ.jpg
277109,0425191184,5,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425191184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425191184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425191184.01.LZZZZZZZ.jpg
5737,0385503822,8,The Summons,John Grisham,2002,Doubleday Books,http://images.amazon.com/images/P/0385503822.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503822.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503822.01.LZZZZZZZ.jpg
277124,0425189864,9,Mortal Prey,John Sandford,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425189864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425189864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425189864.01.LZZZZZZZ.jpg
277124,0440236053,9,Writ of Execution,Perri O'Shaughnessy,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440236053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236053.01.LZZZZZZZ.jpg
277124,0553586122,5,Reap the Wind,Iris Johansen,2002,Bantam Books,http://images.amazon.com/images/P/0553586122.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553586122.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553586122.01.LZZZZZZZ.jpg
277143,0345342968,9,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
8681,0375756981,7,The Vagina Monologues: The V-Day Edition,Eve Ensler,2000,Villard Books,http://images.amazon.com/images/P/0375756981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375756981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375756981.01.LZZZZZZZ.jpg
6041,0671027662,10,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books,http://images.amazon.com/images/P/0671027662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027662.01.LZZZZZZZ.jpg
277143,0767903382,8,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books,http://images.amazon.com/images/P/0767903382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767903382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767903382.01.LZZZZZZZ.jpg
24933,0316152196,9,Angels Flight (Detective Harry Bosch Mysteries),Michael Connelly,1999,Little Brown & Co,http://images.amazon.com/images/P/0316152196.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316152196.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316152196.01.LZZZZZZZ.jpg
277157,0316154059,5,City of Bones,Michael Connelly,2002,Warner Books,http://images.amazon.com/images/P/0316154059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316154059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316154059.01.LZZZZZZZ.jpg
10699,034541389X,9,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,http://images.amazon.com/images/P/034541389X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.LZZZZZZZ.jpg
